dish_name,sweet,salty,sour,bitter,umami
chicken breast sub,10,60,10,10,70
cheese fries,10,80,5,10,60
buffalo chicken pizza,20,70,10,10,50
chicken salad sandwich,20,40,10,10,30
crab pretzel,10,70,5,10,30
hawaiian pizza,30,70,20,10,60
cajun chicken breast sandwich,10,70,5,10,30
broccoli and chz,10,60,5,20,40
italian cheesesteak sub,10,70,10,10,60
root beer,80,0,20,0,0
fruit punch,80,10,60,20,30
veal sub,10,60,10,20,80
fried pickle chips,5,80,20,10,5
pickle chips,5,80,100,10,5
corned beef sub,10,80,5,10,60
honey bbq chip,60,40,10,10,20
breaded shrimp,10,70,5,10,30
friesgravy,10,80,5,10,60
apple juice,100,0,0,0,0
chicken wrap,10,60,20,10,40
cheddar sour cream,10,70,30,10,20
hellenic delight,60,30,20,10,40
chocolate milkshake,90,0,0,0,0
cheese sub,10,70,5,10,80
fanta grape,80,0,20,0,0
meat lovers pizza,20,70,10,10,80
crab chips,10,80,5,10,30
ham sandwich,10,70,5,10,30
tzatziki and pita,20,40,50,20,10
cheeseburger club,10,70,5,10,50
cheese sandwich,10,60,5,10,80
reg no salt,0,0,0,0,0
ripple plaine,40,20,0,10,30
garlic breadno chz,10,70,0,10,20
coleslaw,40,30,50,10,20
ham sub,10,80,5,10,30
roast beef sub,10,70,5,10,80
bacon lettuce tomato sandwich,10,80,5,10,20
pizza sub,20,70,10,10,60
ham and cheese club,10,80,5,10,60
beef shrimp,10,60,5,20,80
chicken cheesesteak sub,10,70,5,10,50
italian cold cut sub,10,80,5,10,60
crab dip,20,60,10,10,80
cannoli,80,10,5,20,30
oreo pie,90,10,5,20,30
popcorn shrimp,10,80,0,10,20
chicken pizza,20,60,10,10,70
buffalo chicken wrap,10,70,20,10,30
vanilla milkshake,90,0,0,0,0
water,0,0,0,0,0
regular chip,0,80,0,0,0
triple chz stk,10,80,5,10,90
chicken salad club,20,40,10,10,30
turkey breast sub,10,60,0,10,30
pizza burger,10,70,20,10,60
cajun bbq chicken sub,20,70,10,10,60
chandler,20,30,0,10,40
chicken tender app,10,70,5,10,50
orange juice,100,0,20,0,0
dough,5,10,0,5,0
smokin sweet,60,20,5,10,30
bacon lettuce tomato sub,10,80,5,10,20
gyro sub,10,60,30,20,40
meatball parm sub,20,70,10,10,80
bacon lettuce tomato club,10,80,5,10,20
cheesesteak sub,10,70,10,10,60
chicken filet sandwich,10,60,5,10,40
crab balls app,20,60,10,10,80
cake of week,80,10,5,5,0
egg salad sub,10,40,20,10,20
cheese ravioli,10,60,5,10,80
black bottoms,60,20,5,10,30
lemoande,80,0,20,0,0
fanta orange,80,0,20,0,0
salt vin chips,0,80,20,0,0
fried butterfly shrimp,5,80,5,10,20
green pepper steak sub,10,40,10,20,60
curly fries,10,80,5,10,20
chicken parm sub,20,70,10,10,50
cream of crab soup,10,40,5,10,60
buffalo tenders,10,80,10,10,60
crab cake sandwich,10,60,5,10,70
pizza fries,10,80,10,10,60
banana pudding,80,10,10,10,10
rice pudding,80,10,5,5,20
battered mushrooms,10,40,5,20,60
red powerade,80,0,20,0,0
roast beef sandwich,10,60,5,10,80
chicken salad wrap,20,30,10,10,40
gyro on pita,10,60,30,20,40
fried shrimp sandwich,10,70,5,10,30
sour cream chip,0,30,70,0,0
ripples,40,30,0,10,20
gingerale,80,0,20,0,0
lil niros pizza,20,80,10,10,90
turkey reuben,10,70,30,20,60
cheese with fries,10,80,5,10,60
soup of the day,10,30,10,10,40
sausage parm sub,10,80,5,10,60
fish filet sandwich,20,60,10,10,70
buffalo chicken sub,20,80,10,10,60
triple chocolate cake,90,10,5,5,0
chicken and rice,10,60,5,10,40
ham turkey and cheese club,10,80,5,10,30
broccoli cheese bites,10,60,10,20,40
gold peak,40,20,0,10,30
shrimp parm sub,20,70,10,10,60
steak sub,10,70,5,10,90
greek chicken wrap,10,60,30,20,40
tomato and cheese pizza,20,70,30,10,80
fanta,100,0,0,0,0
beef cheesesteak shrimp,10,70,5,10,80
loaded mash potatoes,10,70,0,10,20
chicken shrimp,20,60,10,10,70
garlic breadchz,10,70,0,10,20
hot chip,5,80,0,10,5
shrimp chicken cheesesteak,10,60,5,10,70
chz fish sub,10,70,20,10,50
macaroni cheese,20,70,5,10,50
bacon cheeseburger,10,80,5,10,60
fish sub,10,60,10,20,80
italian hot cut,10,70,10,20,60
italian salad,10,30,20,20,40
pasta alfredo,20,60,10,10,80
chz burger,10,70,5,10,50
garden salad,15,20,10,10,5
eggplant parm sub,30,60,10,20,70
tuna salad club,20,60,30,10,40
corned beef sandwich,10,70,5,10,30
bacon cheese fries,10,80,5,10,60
chick triple chz stk,10,80,5,10,90
strawberry dole whip,80,0,20,0,0
brownie twister,80,10,0,20,0
vanilla,100,0,0,0,0
orange dole whip,80,0,20,0,0
dew,40,10,0,20,30
sweet potato waffle,80,10,5,5,0
lime dole whip,80,0,20,0,0
cookie monster twister,80,10,5,5,0
michigan pothole,10,30,0,20,40
maple walnut,70,10,0,20,0
cookies and cream,80,10,5,5,0
banana pudding twister,80,10,5,5,20
brookie dough blast,80,10,5,5,0
lil blue panda,40,20,0,10,30
super berry acai,80,10,30,20,5
twister,20,30,0,10,40
pistachio,30,10,5,5,15
cheese curds,10,80,10,10,60
watermelon dole whip,80,0,20,0,0
lemon dole whip,70,10,100,10,10
chicken tenders,10,70,5,10,30
chocolate,100,0,0,0,0
cookie dough,80,10,5,5,0
snickers twister,70,10,5,5,20
pineapple dole whip,80,0,20,0,0
cheesecake twister,70,10,0,5,15
praline pecan,80,10,5,5,0
corn dog,30,70,5,10,20
carmel cookie cheesecake,80,10,5,5,20
strawberry,100,0,20,0,0
rocky road,80,20,10,10,30
mac and cheese bites,20,80,5,10,60
chocolate vanilla twist,70,10,0,20,0
mint moose track,80,10,5,20,30
oatmeal cookie cravings,70,10,0,20,0
classic cookie,70,10,10,10,0
hot fudge,80,10,5,5,20
deep dish apple pie,80,10,5,5,0
hot fudge brownie,80,10,5,20,5
midnight caramel river,70,20,0,10,0
classic sundae,80,10,5,10,20
butterfinger twister,60,10,5,5,20
cappuccino crunch,60,10,10,20,0
gone bananas brownie boat,80,10,5,20,30
butter pecan,70,10,15,5,0
holiday eggnog,60,10,5,20,5
cookie dough twister,80,10,5,5,0
mango dole whip,80,10,20,5,5
heath bar twister,70,20,0,10,0
strawberry cheesecake,80,10,10,5,15
strawberry short cake,80,10,30,10,20
peanut butter caramel cookie dough,80,10,5,5,0
fried oreo madness,60,10,10,5,15
cotton candy,100,0,0,0,0
kit kat twister,60,10,5,5,20
superman,40,20,0,10,30
chocolate chunk,60,10,0,30,0
rootbeer float,80,0,20,0,0
reeses blitz,80,10,5,5,20
heath bar bonanza,70,10,0,20,0
oreo twister,70,10,0,5,15
snowball,70,10,0,5,15
peppermint stick,80,10,5,5,0
cotton candy twister,90,10,0,5,5
regular waffle,50,10,20,10,10
pumpkin,80,10,5,20,30
reeces twister,70,10,5,5,20
pepper float,40,20,0,10,30
dark chocolate raspberry truffle,80,10,10,60,20
campfire smores,70,20,0,10,30
amaretto cherry,100,0,50,0,0
birthday cake,90,10,5,5,5
mint and oreos,50,0,0,0,0
crispy french fries,5,80,0,10,5
dirt sundae,60,10,5,5,20
peanut butter,70,10,10,5,5
pepper,0,0,0,0,0
peanut butter and fudge,80,10,0,10,0
sunkist,80,10,90,20,30
andes candies twister,90,10,5,20,30
snickers blast,70,10,5,5,20
hands off cookie,70,10,15,5,0
oreo cookie blast,70,10,0,20,0
banana boat,80,10,5,5,20
fried oreos,70,10,0,5,15
breakfast burger,10,70,5,10,30
bacon burger,10,80,5,10,60
sunkist float,70,10,30,10,20
regular funnel,40,20,25,10,5
goat biryani,20,70,10,10,80
salmon korma,20,40,10,10,60
paneer tikka,20,60,30,10,70
ckn deep fried momo,10,60,0,10,30
rice,0,10,0,0,0
matar mushroom,20,30,10,10,60
chicken hakka noodles,10,60,20,10,40
