dish_name,sweet,salty,sour,bitter,umami
abby salsa picante,40,30,60,10,20
abbys burger,10,80,5,10,90
abbys nutbutter toast,40,20,0,10,30
abc,20,30,0,10,40
abc cookies,80,10,5,5,0
abc ice kacang,80,20,5,10,5
abc omelet,5,60,5,10,30
abc sandwich,10,30,10,10,40
abc smoothie,80,10,5,20,30
abc trout in curry,20,30,10,10,60
abc wrap,20,60,10,10,30
abe foreman pizza,20,70,10,10,60
abe froman,10,60,10,20,80
abe lincoln,10,20,0,30,40
aberfeldy,60,20,10,30,40
aberfeldy year,40,10,0,20,30
aberlour,80,0,0,0,0
aberlour abunadh,80,10,5,20,30
aberlour cask,40,10,0,20,30
aberlour scotch whisky,0,0,0,0,0
aberlour speyside malt abunadh cask strength,60,10,5,20,30
aberlour speyside malt year old cask,60,10,5,20,30
aberlour year,40,10,0,20,30
abes spicy margarita,30,60,80,10,0
abetone,10,20,0,30,40
abg doner,10,60,10,20,80
abigail,40,20,0,10,30
abigail mussels,10,80,10,20,90
abilene chicken sandwich,20,60,15,10,40
abirria,30,60,40,20,80
abita christmas ale,40,10,0,30,20
abita purple haze,40,10,50,20,30
abita root beer,80,0,20,0,0
abita root beer float,80,0,20,0,0
abita rootbeer,80,0,20,0,0
ablama warm mezza,20,30,10,10,40
ablemarle cider works hewes crab,70,10,40,20,30
ablemarle cider works ragged mountain,70,10,30,20,0
aboboi with sweet plantain starting,60,20,10,10,30
abol kitfo,10,70,5,20,30
abol lamb tibs,20,70,10,10,60
abol shero wet,10,30,10,10,40
abol tibs,20,70,10,10,60
abomu,10,60,30,20,40
abps original chicken salad,15,30,25,10,20
abraham bowman virginia,40,20,0,10,30
abricotier,80,10,40,20,30
abruzzi,10,40,10,20,60
abruzzi dchix,10,60,10,20,40
abruzzi dveal,10,40,10,20,60
abruzzi lchix,10,60,15,20,40
abruzzi lveal,10,60,10,20,80
abruzzi primo,10,60,10,20,40
absente,0,0,0,80,0
absente absinthe refined,0,10,0,90,0
absinthe,10,0,0,90,0
absinthe and bacon mussels,10,70,5,20,80
absinthe lucide tourment pernod,0,0,20,80,0
absinthe rickey,20,0,20,60,0
absinthe saint georges,10,0,10,80,0
absolut,0,0,0,0,0
absolut chesapeake,10,20,5,10,30
absolut citron vodka,0,0,90,0,0
absolut crush,80,10,60,20,30
absolut elyx,0,0,0,0,0
absolut neat,0,0,0,0,0
absolut peppar vodka,0,0,0,0,0
absolut stoli beefeater or tanqueray,0,0,0,0,0
absolut vodka,0,0,0,0,0
absolute pineapple fried rice,30,60,20,10,40
absolute siam beef,10,60,10,20,80
absolutely that time,20,30,0,10,40
abstract punch,60,20,40,10,30
abstract salad,15,20,50,10,5
abtey poire williams,80,0,20,0,0
abuela soup,20,40,0,10,30
abuelas chicken croquetas,10,70,5,10,30
abuelita hot chocolate,80,10,5,20,30
abuelo,20,30,0,10,40
abunabunu soup,5,30,5,10,50
abunai,10,30,0,20,40
abunai hand roll,20,70,10,10,80
abura miso buta onigiri,20,70,10,10,80
abura miso nasu onigiri,10,60,10,20,80
aburi five,10,60,10,20,80
aburi kaizen don,10,60,10,20,80
aburi saba,10,80,10,20,90
aburi zushi,20,70,10,10,90
aburisaba,10,80,0,20,90
abzul,10,30,0,20,40
acabeza,15,20,5,10,30
acacia pinot noir,40,20,0,10,30
acacia roll,60,20,5,10,30
acacia rose california,40,20,0,10,30
acadian pearl,40,20,0,10,30
acadian peppered shrimp,20,70,10,10,30
acai,80,10,10,20,30
acai banana smoothie,70,0,20,10,0
acai base,80,0,20,0,0
acai berry,70,10,5,20,5
acai berry blast smoothie,80,10,40,20,30
acai berry smoothie,80,0,20,0,0
acai energy smoothie,80,10,10,20,30
acai mule,60,10,40,20,30
acai palmberry,80,10,40,20,30
acai plus smoothie,70,10,0,20,0
acai pure basic,100,0,0,0,0
acai pure size,80,10,10,20,30
acai smoothie,80,0,20,0,0
acai tropical,80,10,40,20,30
acamaron,10,60,10,20,80
acapella chicken wrap,20,60,30,10,40
acappella,40,20,0,10,30
acappella benedict,10,60,10,20,40
acappella burger,20,70,10,10,80
acappella chips,5,80,0,10,5
acappella french toast,70,20,5,10,5
acappella panini,10,60,10,20,40
acappella salad,40,20,0,10,30
acappella wings,20,80,10,10,60
acapulco,30,60,50,20,40
acapulco blackened tilapia salad,20,30,10,10,40
acapulco boca colorada,30,40,50,20,60
acapulco one fillet,10,60,30,20,80
acapulco parrillada,10,60,30,20,80
acapulco quesadilla,20,70,15,10,30
acapulco salad,10,30,20,20,40
acapulco salmon,30,60,40,20,80
acapulco soup,10,60,30,20,40
acapulco steak,20,70,30,10,80
acapulco tacos,20,70,40,10,30
acapulco trading,30,60,50,20,40
acapulco traditional,30,60,50,20,40
acapulco two fillets,20,70,30,10,80
acarnitas,20,60,10,10,80
acc,10,30,10,10,40
acc roll,20,60,10,10,30
acc smash,10,60,10,20,40
accidental fish and shrimp,10,60,0,10,80
acciughe bianche,10,80,10,20,90
accordini viole recioto della valpolicella classico veneto italy,90,10,5,20,30
accra,10,60,5,20,30
accra fritters,10,60,5,20,30
accras,10,70,5,20,30
ace,20,30,0,10,40
ace acai,80,10,40,20,30
ace next door west coast session ipa,0,0,0,80,0
ace pear cider,80,0,20,0,0
aceitunas,0,80,0,20,0
aceitunas de la casa con guindilla vasca,5,80,5,10,20
aceitunas la mancha,0,80,0,20,0
acentor rioja spain,10,20,0,30,40
acer opalus,10,20,0,30,40
acerola,80,10,90,20,30
acevichado,20,80,100,20,60
acevichado roll,20,70,80,10,60
acg caesar,10,80,10,20,70
achaar,20,80,90,10,30
achaar pickle,20,80,90,10,30
achaari,10,70,40,20,50
achar,30,80,90,10,20
achar gosht,20,70,40,10,60
achari,10,60,80,20,40
achari aloo kati roll with fries,10,70,30,10,20
achari baigan,10,40,30,20,60
achari began curry,10,60,40,20,80
achari chicken karahi,10,70,30,10,60
achari chicken korma,30,60,40,20,80
achari chicken paratha taco,20,70,40,10,60
achari chicken tacos,10,60,40,20,70
achari chicken tikka,20,70,40,10,60
achari chicken wings,20,70,30,10,60
achari eggplant,10,40,30,20,60
achari gohst,10,60,40,20,70
achari goshat karahi,10,60,30,20,80
achari jhinga,20,70,40,10,60
achari kadhai,10,60,40,20,70
achari khumbh kulcha,10,60,30,20,40
achari lamb,10,70,40,20,80
achari lamb tikka,10,60,40,20,70
achari murgh,10,60,40,20,70
achari naan,10,60,40,20,30
achari paneer,10,60,40,20,70
achari paneer tacos,10,60,40,20,70
achari paneer tikka,10,60,40,20,70
achari shrimp bhel,20,70,40,10,30
achari soya chaap,10,60,30,20,80
achari tawa murgh,10,60,40,20,70
achari tikka,10,70,50,10,30
acharian khachapuri,20,70,50,10,30
achával ferrer malbec mendoza argentina,40,10,0,20,30
acheese burrito bean taco rice and beans,10,60,20,10,30
acheke,30,60,5,10,20
achicken bacon lettuce tomato,10,70,5,10,20
achicken yat gat mein,10,60,10,20,80
achilles heel souvlaki sandwich,10,80,30,20,60
achilles regular,10,30,0,20,40
achilles tuesday,10,30,0,20,40
achiote chicken,10,40,30,20,60
achiote fish,20,30,10,10,40
achiote hanger steak fajitas,10,60,30,20,70
achiote orange glazed pork,30,40,20,10,60
achiote pork belly,30,60,10,20,80
achiote roast chicken,10,60,10,20,40
achiote shrimp tacos,10,60,30,20,40
achma,10,70,0,10,30
achorizo,10,70,10,10,60
achu,40,20,0,10,30
achu dry and assorted beef,10,70,5,10,30
achu dry beef with egusi,10,60,5,20,40
achu dry beef with njamajama,10,70,5,10,30
achu soup and jama,10,60,10,20,40
acid blondie,0,0,80,0,0
acid kuba,15,20,25,10,30
acid shooter,0,0,100,0,0
acient vine zinfandel,30,0,0,20,0
acili ezme,30,40,60,10,20
acili salmon sandwich,20,60,30,10,70
acinum amarone della valpolicella veneto italy,40,20,10,80,30
acinum prosecco italy,40,10,50,20,30
ackee,40,20,0,10,30
ackee and cod fish,30,60,10,20,40
ackee and codfish,30,70,10,20,50
ackee and codfish meal,10,60,10,20,40
ackee and salt fish,40,70,10,20,30
ackee and salt fish breakfast,10,70,5,20,30
ackee and saltfish,10,70,15,20,40
ackee and saltfish egg rolls,10,70,10,20,40
ackee and saltfish supersize,40,80,10,20,60
ackee and saltfish tostones,10,80,10,20,30
ackee and saltfish with fried dumplings,10,70,5,20,30
ackee and vegetables in tomato sauce,15,30,25,10,20
ackee breakfast,40,20,0,10,30
ackee fry dumplin,10,30,5,10,20
ackee with saltfish,40,80,10,20,60
acma domatesli,40,30,10,10,20
acocado,20,10,5,5,15
acorn squash,60,20,5,10,15
acorn squash and burrata,40,20,0,10,30
acorn squash salad,30,20,5,10,15
acorn squash with mole,40,20,10,30,60
acorn squash xacuti,40,20,0,10,30
acp,20,30,0,10,40
acp arroz con pollo camarones,10,60,30,20,70
acp burrito,20,30,0,10,40
acp chicken,20,70,30,10,80
acp chipotle,30,60,40,20,80
acp diabla,10,60,30,20,80
acp feliz,20,30,0,10,40
acp hawaiano,50,30,20,10,40
acp mix,20,60,30,10,80
acp quesadilla,10,70,20,10,30
acp shrimp,20,70,30,10,80
acp steak,20,70,5,10,90
acp tacos,20,60,30,10,40
acp texano,10,70,5,20,60
acqua frittata,10,60,10,20,40
acqua market salad,15,20,25,10,30
acqua panna,0,0,0,0,0
acqua panna mineral water,0,0,0,0,0
acqua panna natural spring water,0,0,0,0,0
acqua panna spring water,0,0,0,0,0
acqua panna still,0,0,0,0,0
acqua panna still italy,40,10,0,20,30
acqua panna still water,0,0,0,0,0
acqua panna water,0,0,0,0,0
acqua wings,20,80,30,10,70
acquapanna,5,10,5,20,30
acrobat king estate oregon pinot noir,40,10,50,20,30
acrobat pinot grigio,0,0,0,0,0
acrylic dripper set,0,0,0,0,0
acs sheep milk ricotta,20,30,0,10,40
actual veggies burger,20,30,0,10,40
acuerito,10,80,5,20,60
acura roll,20,60,10,10,80
ada lovelace,40,20,0,10,30
ada pradhaman,80,10,5,20,30
adai aviyal,10,60,40,20,30
adai with avial,10,60,20,20,30
adaline,20,30,0,10,40
adamas italian siberian sturgeon,10,60,5,20,80
adami prosecco bosco gicco italy,40,10,50,20,30
adams,10,30,0,20,40
adams apple,40,20,0,10,30
adams chicken wings,10,80,10,10,90
adams chili,10,60,30,20,80
adams crepes,60,20,5,10,30
adams fall,10,20,0,30,40
adams hot crab dip,20,60,10,10,70
adams value pak,20,80,10,10,30
adams wings,10,80,20,10,70
adana,10,60,10,20,40
adana chicken,10,60,10,20,40
adana durum,10,60,10,20,40
adana iskender,30,60,10,20,70
adana kebab,10,70,5,10,30
adana kebab sandwich,10,70,10,10,30
adana kebab wrap,10,70,10,20,30
adana kebap,10,70,10,20,30
adana kebob,10,60,10,20,40
adana lamb,10,60,10,20,40
adana rice,10,60,10,20,40
adana sandwich,10,70,0,10,20
adana shish kebab,10,70,10,20,30
adana wrap,10,60,20,20,40
adas breakfast,10,20,5,10,30
adas mini black brioche loaf,40,20,5,10,5
adb,5,20,5,10,30
addict kimbap,10,80,20,10,70
addies,30,60,10,20,40
addies caesar salad,10,80,30,20,60
addies mussels,10,70,20,10,90
addies salad,40,20,10,10,30
additional,20,30,0,10,40
additional baguette,5,30,0,10,5
additional chicken,10,60,0,10,80
additional chicken eggplant,10,30,10,10,40
additional dessert,90,10,5,5,0
additional egg,10,30,10,10,40
additional glutton injera,5,30,15,10,20
additional grande,40,20,0,10,30
additional hour,40,20,0,10,30
additional hour bar,40,20,0,10,30
additional hour beer and wine,10,20,5,60,30
additional ingredients,40,30,0,10,20
additional meat,10,60,0,20,80
additional pita with zatar,10,60,10,20,40
additional rice,10,30,5,10,20
additional scoop,40,20,0,10,30
additional scoop on nachos,5,80,5,10,20
addl crab ball,20,30,0,10,50
addoz blk tuna,10,60,5,20,80
addoz ccake,80,10,5,5,0
addoz salmon,20,70,10,10,90
addoz tuna,10,70,10,10,90
addscallops,10,70,5,10,90
addshrimp,10,60,10,20,80
adega cooperativa de borba aragonez alentejano portugal,10,20,0,30,40
adegas gran vinum albariño rias baixas,40,20,60,10,30
adelaides salmon,10,60,30,20,80
adelsheim deglace pinot noir ice wine willamette valley oregon,80,10,5,20,30
adelsheim pinot noir willamette valley,40,10,50,20,30
aderezo,40,30,0,10,20
adios beaches,40,20,0,10,30
adios primo,40,20,0,10,30
aditi garden salad,30,20,15,10,5
adjapsandali,15,20,25,10,30
adjatougbe,10,30,0,20,40
adjika,10,30,50,20,40
admiral,10,80,5,20,60
admiral chicken nachos,20,80,30,10,60
admiral egg sandwich,10,60,5,20,40
admiral jacks favorite chicken,20,70,10,10,60
admiral prime rib,10,70,5,10,90
admirals feast,20,80,10,10,60
admirals tableside chopped salad,10,30,0,20,40
admission,10,20,5,10,30
admo,10,60,30,20,80
adobada,20,70,30,10,80
adobo,10,80,30,20,90
adobo bbq chicken,20,70,30,10,80
adobo brown sugar marinated farms pork loin,60,30,20,10,40
adobo brownie,70,30,10,20,40
adobo carnitas,10,80,30,20,90
adobo chicken,20,80,30,10,70
adobo chicken bistro,20,80,30,10,70
adobo chicken burrito,20,70,30,10,60
adobo chicken enchiladas,20,70,30,10,50
adobo chicken fajitas,20,70,30,10,40
adobo chicken quesdilla,20,70,30,10,50
adobo chicken taco,20,70,30,10,50
adobo cochinita pibil,30,70,40,20,80
adobo de puerco,20,70,30,10,60
adobo de puerco one,20,80,30,10,70
adobo de puerco two,20,80,30,10,70
adobo pandesal,20,70,10,10,30
adobo pork belly egg and cheese sandwich,10,80,20,10,60
adobo pork belly fries,20,80,30,10,60
adobo pork chop,20,80,30,10,60
adobo pork tacos,20,70,30,10,50
adobo pulled chicken soft tacos,20,70,30,10,50
adobo radicchio wraps,20,70,40,30,50
adobo salmon,20,70,30,10,80
adobo short ribs tacos,20,80,30,10,70
adobo shrimp and grits,20,80,10,10,60
adobo steak and blue cheese,10,80,10,20,90
adobo taco,20,70,30,10,60
adobo tofu,20,70,30,10,80
adobo wings,20,80,30,10,70
adobo yucca fries,10,80,20,10,30
adobong manok,10,80,30,20,70
adobong pusit paella,10,70,20,20,80
adonis,10,30,0,20,40
adonko bitters,0,0,0,100,0
adorde,10,30,0,20,40
adoro bucatini con arco,10,60,10,20,80
adoro calamarata,10,60,10,20,80
adoro elocoidali,10,30,0,10,50
adoro fusilli,10,30,10,10,40
adoro mafaldine,10,60,5,20,80
adoro penne rigate,10,60,20,10,40
adrak chaap,10,20,10,10,30
adraki gobi mutter,20,30,10,10,40
adraki jhinga,10,60,20,20,40
adraki lamb chops,20,70,5,10,60
adraki paneer,20,40,10,10,60
adras mencía spain,60,20,10,30,40
adrenaline,0,20,0,30,50
adrian omelette,20,60,10,10,40
adriatic linguine,10,60,15,20,40
adriatic seafood brodetto,10,60,30,20,80
adriatic seafood frittata,10,60,10,20,80
aduld,10,60,10,20,80
adult,10,20,0,30,40
adult alfredo,10,70,5,10,90
adult beer float,60,10,10,80,20
adult big crystal,0,20,0,10,70
adult bonanza,10,60,10,20,80
adult breakfast santa,30,60,10,20,40
adult buff,5,70,5,10,80
adult butter pasta,10,60,5,10,80
adult cheese,10,80,0,10,90
adult cheese burger helper,10,70,10,10,60
adult cheese pizza,10,70,5,10,80
adult cheese sandwich,10,80,0,10,60
adult cheeseburger,10,70,5,10,80
adult chicken fingers,10,80,0,10,20
