dish_name,raw_ingredient,amount,unit
aalo mutter korma,garam masala,1,tsp
aalo mutter korma,cumin powder,1,tsp
aalo mutter korma,potatoes,2,cups
aalo mutter korma,yogurt,1,cup
aalo mutter korma,cashew nuts,10,pieces
aalo mutter korma,salt,1,tsp
aalo palak,oil,2,tbsp
aalo palak,coriander powder,1,tsp
aalo palak,potatoes,2,cups
aalo palak,salt,1,tsp
aalo palak,cumin seeds,1,tsp
aalo palak,garam masala,0.5,tsp
aalo palak,turmeric powder,1,tsp
aalo palak,tomato,2,medium
aalo palak,garlic,3,cloves
aalo palak,spinach,4,cups
aalo palak,ginger,1,inch
aalo palak,green chili,2,pieces
aalo palak,onion,1,medium
aaloo tama soup,black-eyed peas,0.5,cup
aaloo tama soup,potatoes,2,medium
aaloo tama soup,bamboo shoots,1,cup
aalu,turmeric powder,1,teaspoon
aalu,salt,1,teaspoon
aalu,ginger,1,inch
aalu,onion,1,medium
aalu,cumin powder,1,teaspoon
aalu,green chili,2,pieces
aalu,oil,2,tablespoons
aalu,garam masala,1,teaspoon
aalu,garlic,2,cloves
aalu,coriander powder,1,teaspoon
aalu,potatoes,500,grams
aalu byngun,potatoes,2,medium
aalu byngun,oil,2,tbsp
aalu byngun,spices,1,tbsp
aalu byngun,eggplant,1,large
aalu deep fry,turmeric powder,0.25,tsp
aalu deep fry,corn flour,2,tbsp
aalu deep fry,oil,500,ml
aalu deep fry,chili powder,0.5,tsp
aalu deep fry,black pepper,0.5,tsp
aalu deep fry,potatoes,500,g
aalu deep fry,salt,1,tsp
aalu gobhi fry,cumin seeds,1,tsp
aalu gobhi fry,salt,1,tsp
aalu gobhi fry,potatoes,2,medium
aalu gobhi fry,red chili powder,1,tsp
aalu gobhi fry,turmeric powder,1,tsp
aalu gobhi fry,coriander powder,1,tsp
aalu gobhi fry,oil,2,tbsp
aalu gobhi fry,cauliflower,1,medium
aalu kurma,oil,2,tbsp
aalu kurma,garlic,1,tbsp
aalu kurma,turmeric powder,1,tsp
aalu kurma,ginger,1,tbsp
aalu kurma,onions,2,
aalu kurma,cumin powder,1,tsp
aalu kurma,coconut milk,200,ml
aalu kurma,potatoes,500,g
aalu kurma,tomatoes,2,
aalu kurma,coriander powder,1,tsp
aalu kurma,garam masala,1,tsp
aalu menthi fry,potatoes,500,grams
aalu menthi fry,oil,2,tablespoons
aalu menthi fry,red chili powder,1,teaspoon
aalu menthi fry,turmeric powder,1,teaspoon
aalu menthi fry,fenugreek seeds,2,tablespoons
aalu menthi fry,salt,1,teaspoon
aalu tama bodi,bamboo shoots,1,cup
aalu tama bodi,potatoes,2,cups
aalu tama bodi,black-eyed beans,1,cup
aalu tomato curry,green chili,2,pieces
aalu tomato curry,garam masala,0.5,tsp
aalu tomato curry,red chili powder,1,tsp
aalu tomato curry,salt,1,tsp
aalu tomato curry,turmeric powder,1,tsp
aalu tomato curry,tomatoes,300,g
aalu tomato curry,garlic,3,cloves
aalu tomato curry,cumin seeds,1,tsp
aalu tomato curry,onion,1,medium
aalu tomato curry,potatoes,500,g
aalu tomato curry,coriander powder,1,tsp
aalu tomato curry,ginger,1,inch
aalu tomato curry,oil,2,tbsp
aam adarak gosht,ginger,2,tablespoons
aam adarak gosht,onion,1,large
aam adarak gosht,tomato,2,medium
aam adarak gosht,mutton,500,grams
aam adarak gosht,mango,2,pieces
aam adarak gosht,yogurt,1,cup
aam adarak gosht,spices,1,tablespoon
aam aur bhel chat,Black salt,0.5,teaspoon
aam aur bhel chat,Tamarind chutney,2,tablespoons
aam aur bhel chat,Sev (crispy chickpea noodles),0.5,cup
aam aur bhel chat,Salt,0.5,teaspoon
aam aur bhel chat,Raw mango,1,cup
aam aur bhel chat,Coriander leaves,1,tablespoon
aam aur bhel chat,Chaat masala,1,teaspoon
aam aur bhel chat,Bhel (puffed rice),1,cup
aam aur bhel chat,Green chilies,2,pieces
aam chutni,sugar,1.5,cups
aam chutni,salt,0.5,teaspoon
aam chutni,red chili powder,0.25,teaspoon
aam chutni,cumin powder,0.25,teaspoon
aam chutni,ripe mangoes,2,cups
aam lassi,spices,1,pinch
aam lassi,sugar,2,tablespoons
aam lassi,mango,1,cup
aam lassi,yogurt,1,cup
aam palak chaat,sev,0.5,cup
aam palak chaat,spinach,2,cups
aam palak chaat,chaat masala,1,tsp
aam palak chaat,tamarind chutney,2,tbsp
aam palak chaat,mint chutney,2,tbsp
aam palak chaat,ripe mangoes,1,cup
aam panna,roasted cumin powder,1,teaspoon
aam panna,water,4,cups
aam panna,black salt,1,teaspoon
aam panna,raw mangoes,2,medium
aam panna,mint leaves,10,leaves
aam panna,sugar,1,cup
aam ras halwa,saffron,1,pinch
aam ras halwa,semolina,1,cup
aam ras halwa,nuts,0.5,cup
aam ras halwa,sugar,1.5,cups
aam ras halwa,milk,2,cups
aam ras halwa,ripe mango pulp,2,cups
aam ras halwa,ghee,0.5,cup
aamchuri baby eggplant,sugar,1,teaspoon
aamchuri baby eggplant,aamchur (dried mango powder),2,tablespoons
aamchuri baby eggplant,oil,2,tablespoons
aamchuri baby eggplant,turmeric powder,1,teaspoon
aamchuri baby eggplant,coriander powder,1,teaspoon
aamchuri baby eggplant,ginger,1,inch piece
aamchuri baby eggplant,baby eggplants,8,pieces
aamchuri baby eggplant,tomato,2,medium
aamchuri baby eggplant,green chili,2,pieces
aamchuri baby eggplant,onion,1,medium
aamchuri baby eggplant,salt,1,teaspoon
aamchuri baby eggplant,cumin powder,1,teaspoon
aamchuri baby eggplant,red chili powder,1,teaspoon
aamchuri baby eggplant,garlic,4,cloves
aanda curry,tomatoes,2,medium
aanda curry,cumin,1,tsp
aanda curry,ginger,1,inch piece
aanda curry,eggs,6,pieces
aanda curry,garam masala,1,tsp
aanda curry,garlic,4,cloves
aanda curry,onions,2,medium
aanda curry,turmeric,0.5,tsp
aanda curry,coriander,1,tsp
aapam,rice flour,2,cups
aapam,sugar,2,tablespoons
aapam,coconut milk,1,cup
aapam,yeast,1,teaspoon
aapam,salt,1,teaspoon
aapam paya,salt,1,tsp
aapam paya,coconut milk,1,cup
aapam paya,sugar,2,tbsp
aapam paya,lamb trotters,500,g
aapam paya,rice flour,2,cups
aaron,mushrooms,150,g
aaron,brown sugar,1,tbsp
aaron,beef,200,g
aaron,soy sauce,2,tbsp
aaron,salt,1,tsp
aaron,onion,1,large
aaron,garlic,2,cloves
aaron catering,garlic,3,cloves
aaron catering,green onions,0.5,cup
aaron catering,brown sugar,2,tbsp
aaron catering,sesame oil,1,tbsp
aaron catering,ginger,1,tbsp
aaron catering,chicken,2,lbs
aaron catering,soy sauce,0.5,cup
aarrearkku,oats,1,cup
aarrearkku,sugar,1.5,cups
aarrearkku,lingonberries,2,cups
aaryas seafood alfredo,garlic,3,cloves
aaryas seafood alfredo,salt,1,tsp
aaryas seafood alfredo,butter,1,cup
aaryas seafood alfredo,parmesan cheese,1,cup
aaryas seafood alfredo,heavy cream,2,cups
aaryas seafood alfredo,fettuccine pasta,1,lb
aaryas seafood alfredo,pepper,1,tsp
aaryas seafood alfredo,seafood mix,1,lb
aasada,lime juice,0.25,cup
aasada,soy sauce,2,tbsp
aasada,beef,1,lb
aasada,garlic,3,cloves
aasada,onion,1,medium
aash reshteh,cilantro,1,cup
aash reshteh,noodles,1,cup
aash reshteh,parsley,1,cup
aash reshteh,spinach,2,cups
aash reshteh,chickpeas,1,can
aash reshteh,turmeric,1,tsp
aash reshteh,lentils,1,cup
aash reshteh,pepper,0.5,tsp
aash reshteh,onion,1,large
aash reshteh,garlic,3,cloves
aash reshteh,salt,1,tsp
aashak,olive oil,2,tbsp
aashak,leeks,2,cups
aashak,flour,1.5,cups
aashak,black pepper,0.5,tsp
aashak,garlic,2,cloves
aashak,yogurt,1,cup
aashak,salt,1,tsp
aatishi boti kabab,Salt,1,teaspoon
aatishi boti kabab,Boneless Chicken,500,grams
aatishi boti kabab,Yogurt,1,cup
aatishi boti kabab,Lemon Juice,2,tablespoons
aatishi boti kabab,Ginger Garlic Paste,2,tablespoons
aatishi boti kabab,Red Chili Powder,1,tablespoon
aatishi boti kabab,Oil,2,tablespoons
aatishi boti kabab,Turmeric Powder,1,teaspoon
aatishi boti kabab,Garam Masala,1,teaspoon
aatishi boti kabab,Coriander Powder,1.5,teaspoons
aatishi boti kabab,Cumin Powder,1.5,teaspoons
aattukaal soup,cumin seeds,1,tsp
aattukaal soup,salt,1,tsp
aattukaal soup,tomato,1,medium
aattukaal soup,garlic,4,cloves
aattukaal soup,onion,1,medium
aattukaal soup,water,4,cups
aattukaal soup,coriander leaves,2,tbsp
aattukaal soup,ginger,1,inch piece
aattukaal soup,horse gram,1,cup
aattukaal soup,turmeric powder,0.5,tsp
aay,cumin,1,teaspoon
aay,olive oil,2,tablespoons
aay,eggplant,2,medium
aay,salt,1,teaspoon
aay,garlic,2,cloves
aay,lemon juice,1,tablespoon
aay,tahini,2,tablespoons
aay,paprika,1,teaspoon
abac lo mein kway teow ree mao,shrimp,150,g
abac lo mein kway teow ree mao,green onions,2,stalks
abac lo mein kway teow ree mao,chicken breast,200,g
abac lo mein kway teow ree mao,bell pepper,1,medium
abac lo mein kway teow ree mao,onion,1,medium
abac lo mein kway teow ree mao,garlic,3,cloves
abac lo mein kway teow ree mao,chili flakes,1,tsp
abac lo mein kway teow ree mao,vegetable oil,2,tbsp
abac lo mein kway teow ree mao,oyster sauce,2,tbsp
abac lo mein kway teow ree mao,bean sprouts,100,g
abac lo mein kway teow ree mao,rice noodles,200,g
abac lo mein kway teow ree mao,soy sauce,3,tbsp
abacha delicacy,spices,1,tbsp
abacha delicacy,dried shredded cassava,2,cups
abacha delicacy,palm oil,1,cup
abacha delicacy,vegetables,1,cup
abacon lettuce tomato rancher,bacon,4,slices
abacon lettuce tomato rancher,ranch dressing,2,tablespoons
abacon lettuce tomato rancher,lettuce,2,leaves
abacon lettuce tomato rancher,bread,2,slices
abacon lettuce tomato rancher,tomato,1,slice
abadia de san campio albarino spain,Albarino wine,1,bottle
abadia retuerta sardon de duero,carrots,2,pieces
abadia retuerta sardon de duero,onions,2,pieces
abadia retuerta sardon de duero,garlic,3,cloves
abadia retuerta sardon de duero,thyme,1,teaspoon
abadia retuerta sardon de duero,beef,500,grams
abadia retuerta sardon de duero,tomatoes,2,pieces
abadia retuerta sardon de duero,paprika,1,teaspoon
abadia retuerta sardon de duero,salt,1,teaspoon
abadia retuerta sardon de duero,pepper,0.5,teaspoon
abadia retuerta sardon de duero,bay leaves,2,pieces
abadia retuerta sardon de duero,potatoes,3,pieces
abalone,Salt,1,pinch
abalone,Garlic,2,cloves
abalone,Abalone,1,piece
abalone,Lemon,1,slice
abalone,Butter,2,tablespoons
abalone porridge,Water,4,cups
abalone porridge,Garlic,2,cloves
abalone porridge,Abalone,2,pieces
abalone porridge,Soy sauce,2,tablespoons
abalone porridge,Rice,1,cup
abalone porridge,Ginger,1,inch
abalone shell,Abalone shell,1,piece
abasolo,spices,1,tbsp
abasolo,roasted corn,2,cups
abasolo,beans,1,cup
abasolo mexican corn whisky,Mexican Cacahuazintle corn,100,%
abasolo whiskey,Cacahuazintle corn,100,%
abbaee soondae,pork blood,200,g
abbaee soondae,pig's intestines,1,set
abbaee soondae,seasonings,50,g
abbaee soondae,glass noodles,100,g
abbaee wang soonadae,rice,50,grams
abbaee wang soonadae,seasonings,10,grams
abbaee wang soonadae,blood,100,milliliters
abbaee wang soonadae,pork,300,grams
abbazia novacella gewurztraminer alto adige valle italy,Abbazia Novacella Gewurztraminer,1,bottle
abbazia novacella gewürztraminer alto adige valle italy,Abbazia Novacella Gewürztraminer,1,bottle
abbazia novacella kerner,Abbazia Novacella Kerner,1,bottle
abbey,lamb,1,lb
abbey,tomatoes,3,large
abbey,Mediterranean spices,2,tbsp
abbey,eggplant,2,medium
abbey black and blue burger,bacon,2,slices
abbey black and blue burger,beef patty,1,pc
abbey black and blue burger,blue cheese,2,oz
abbey chardonnay napa valley california united states,Water,250,ml
abbey chardonnay napa valley california united states,Chardonnay grapes,750,ml
abbey dog,honey mustard,2,tablespoons
abbey dog,sausage,1,piece
abbey dog,caramelized onions,1,cup
abbey dog,sauerkraut,0.5,cup
abbey flatbread,olive oil,3,tbsp
abbey flatbread,herbs,2,tbsp
abbey flatbread,cheese,1,cup
abbey flatbread,water,1,cup
abbey flatbread,flour,2,cups
abbey merlot napa valley california united states,Merlot wine,1,bottle
abbey wings,honey,2,tbsp
abbey wings,flour,1,cup
abbey wings,pepper,1,tsp
abbey wings,butter,2,tbsp
abbey wings,paprika,1,tsp
abbey wings,salt,1,tsp
abbey wings,chicken wings,12,pieces
abbey wings,garlic powder,1,tsp
abbey wings,hot sauce,1,cup
abbeys key lime pie,graham cracker crumbs,1.5,cups
abbeys key lime pie,egg yolks,4,
abbeys key lime pie,key lime juice,1,cup
abbeys key lime pie,sweetened condensed milk,1,can
abbeys key lime pie,whipped cream,1,cup
abbeys key lime pie,sugar,0.25,cup
abbeys key lime pie,butter,0.5,cup
abbeys marinated steak,olive oil,2,tbsp
abbeys marinated steak,garlic,3,cloves
abbeys marinated steak,soy sauce,1,cup
abbeys marinated steak,rosemary,1,tsp
abbeys marinated steak,thyme,1,tsp
abbeys marinated steak,steak,1,lb
abbeys marinated steak,black pepper,1,tsp
abbeys marinated steak,brown sugar,2,tbsp
abbracci,flour,2.5,cups
abbracci,vanilla extract,1,tsp
abbracci,sugar,1.5,cups
abbracci,butter,1,cup
abbruzzese,pasta,200,g
abbruzzese,tomatoes,400,g
abbruzzese,cheese,100,g
abbruzzese,sausage,250,g
abby salsa picante,onion,1,medium
abby salsa picante,cilantro,1,cup
abby salsa picante,tomatoes,4,cups
abby salsa picante,lime juice,2,tablespoons
abby salsa picante,jalapeno peppers,2,medium
abby salsa picante,sugar,1,tablespoon
abby salsa picante,garlic,2,cloves
abby salsa picante,salt,1,teaspoon
abbys burger,special sauce,1,tbsp
abbys burger,cheese,1,slice
abbys burger,onion,1,slice
abbys burger,beef patty,1,pc
abbys burger,lettuce,1,leaf
abbys burger,tomato,1,slice
abbys nutbutter toast,toast,1,slice
abbys nutbutter toast,nut butter,2,tablespoons
abc,green onions,2,stalks
abc,tofu,200,g
abc,soy sauce,2,tbsp
abc,sesame oil,1,tbsp
abc,garlic,2,cloves
abc cookies,baking soda,1,tsp
abc cookies,flour,2,cups
abc cookies,chocolate chips,1,cup
abc cookies,salt,0.5,tsp
abc cookies,butter,1,cup
abc cookies,eggs,2,
abc cookies,sugar,1.5,cups
abc cookies,vanilla extract,1,tsp
abc ice kacang,shaved ice,1,bowl
abc ice kacang,red beans,2,tablespoons
abc ice kacang,grass jelly,2,tablespoons
abc ice kacang,corn,2,tablespoons
abc ice kacang,sweetened condensed milk,2,tablespoons
abc ice kacang,colorful syrups,3,tablespoons
abc omelet,cheese,1,cup
abc omelet,eggs,3,pieces
abc omelet,bell pepper,1,small
abc omelet,onion,1,small
abc sandwich,bacon,2,slices
abc sandwich,cheddar cheese,2,slices
abc sandwich,bread,2,slices
abc sandwich,grilled chicken,1,piece
abc smoothie,carrot,1,medium
abc smoothie,apple,1,medium
abc smoothie,spinach,1,cup
abc smoothie,banana,1,medium
abc smoothie,honey,1,tablespoon
abc smoothie,lemon juice,1,tablespoon
abc trout in curry,Trout fillets,4,pieces
abc trout in curry,Onion,1,"medium, chopped"
abc trout in curry,Oil,2,tablespoons
abc trout in curry,Tomatoes,2,"medium, chopped"
abc trout in curry,Ginger,1,"inch, grated"
abc trout in curry,Garlic,3,"cloves, minced"
abc trout in curry,Curry powder,2,tablespoons
abc trout in curry,Salt,1,teaspoon
abc trout in curry,Coriander leaves,2,"tablespoons, chopped"
abc trout in curry,Coconut milk,1,cup
abc trout in curry,Green chilies,2,sliced
abc wrap,bacon,100,grams
abc wrap,lettuce,50,grams
abc wrap,chicken,200,grams
abc wrap,avocado,1,ripe
abc wrap,tomato,1,medium
abe foreman pizza,Italian sausage,0.5,cup
abe foreman pizza,Pizza dough,1,piece
abe foreman pizza,Black pepper,0.25,teaspoon
abe foreman pizza,Olive oil,2,tablespoons
abe foreman pizza,Tomato sauce,0.5,cup
abe foreman pizza,Garlic,2,cloves
abe foreman pizza,Red onion,0.25,cup
abe foreman pizza,Mozzarella cheese,1,cup
abe foreman pizza,Pepperoni slices,10,pieces
abe foreman pizza,Green bell pepper,0.25,cup
abe foreman pizza,Salt,0.5,teaspoon
abe froman,mushrooms,150,g
abe froman,Parmesan cheese,50,g
abe froman,prosciutto,100,g
abe froman,truffle oil,10,ml
abe lincoln,black pepper,1,tsp
abe lincoln,soy sauce,2,tbsp
abe lincoln,beef,200,g
abe lincoln,garlic,2,cloves
abe lincoln,onions,1,large
abe lincoln,mushrooms,100,g
aberfeldy,carrots,2,pieces
aberfeldy,whisky,50,ml
aberfeldy,onion,1,piece
aberfeldy,beef,500,grams
aberfeldy,potatoes,3,pieces
aberfeldy year,single malt Scotch whisky,1,bottle
aberlour,Aberlour whisky,2,oz
aberlour abunadh,Aberlour A'Bunadh Scotch Whisky,1,shot
aberlour cask,malted barley,1,cup
aberlour cask,water,2,cups
aberlour cask,yeast,1,packet
aberlour scotch whisky,Aberlour Scotch Whisky,1,glass
aberlour speyside malt abunadh cask strength,Aberlour Speyside Malt Abunadh Cask Strength,1,bottle
aberlour speyside malt year old cask,Aberlour Speyside Malt 12 Year Old Cask,1,bottle
aberlour year,whisky,1,bottle
abes spicy margarita,lime juice,1,oz
abes spicy margarita,tequila,2,oz
abes spicy margarita,agave nectar,0.5,oz
abes spicy margarita,jalapeno slices,2,pieces
abes spicy margarita,salt,1,pinch
abetone,beef,300,g
abetone,carrots,2,pieces
abetone,thyme,1,tsp
abetone,rosemary,1,tsp
abetone,pepper,0.5,tsp
abetone,onion,1,medium
abetone,pork,200,g
abetone,celery,2,stalks
abetone,beef broth,2,cups
abetone,salt,1,tsp
abetone,red wine,1,cup
abetone,tomato paste,2,tbsp
abg doner,seasoned meat,200,grams
abg doner,vegetables,100,grams
abg doner,tahini or yogurt sauce,50,grams
abigail,tomatoes,2,cups
abigail,herbs,2,tablespoons
abigail,olives,1,cup
abigail,feta cheese,1,cup
abigail mussels,garlic,3,cloves
abigail mussels,butter,2,tbsp
abigail mussels,white wine,1,cup
abigail mussels,mussels,1,lb
abigail mussels,lemon,1,slice
abigail mussels,parsley,2,tbsp
abilene chicken sandwich,pickles,2,slices
abilene chicken sandwich,lettuce,1,leaf
abilene chicken sandwich,barbecue sauce,2,tablespoons
abilene chicken sandwich,melted cheese,1,slice
abilene chicken sandwich,toasted buns,2,pieces
abilene chicken sandwich,fried chicken patty,1,piece
abirria,water,4,cups
abirria,bay leaves,2,pieces
abirria,apple cider vinegar,2,tbsp
abirria,onion,1,large
abirria,goat meat,1,kg
abirria,cumin seeds,1,tbsp
abirria,dried ancho chilies,3,pieces
abirria,black pepper,1,tsp
abirria,oregano,1,tbsp
abirria,dried guajillo chilies,5,pieces
abirria,garlic cloves,6,pieces
abirria,salt,1,tsp
abita christmas ale,Abita Christmas Ale,1,bottle
abita purple haze,wheat,0.5,cup
abita purple haze,hops,0.25,cup
abita purple haze,malted barley,1,cup
abita purple haze,raspberry puree,0.5,cup
abita purple haze,yeast,0.1,cup
abita root beer,Root Beer Extract,1,tablespoon
abita root beer,Water,1,cup
abita root beer,Vanilla Extract,1,teaspoon
abita root beer,Yeast,1,pinch
abita root beer,Cane Sugar,2,tablespoons
abita root beer,Sassafras Root Bark,1,teaspoon
abita root beer,Molasses,1,teaspoon
abita root beer float,Vanilla ice cream,2,scoops
abita root beer float,Abita root beer,1,bottle
abita rootbeer,vanilla extract,1,tablespoon
abita rootbeer,water,2,cups
abita rootbeer,sugar,1.5,cups
abita rootbeer,caramel extract,1,tablespoon
abita rootbeer,root beer extract,2,tablespoons
ablama warm mezza,zucchinis,4,pieces
ablama warm mezza,tomato sauce,1,cup
ablama warm mezza,lemon juice,2,tbsp
ablama warm mezza,ground beef,200,g
ablama warm mezza,rice,1,cup
ablama warm mezza,eggplants,2,pieces
ablama warm mezza,garlic,2,cloves
ablama warm mezza,olive oil,2,tbsp
ablama warm mezza,onion,1,medium
ablama warm mezza,pepper,0.5,tsp
ablama warm mezza,salt,1,tsp
ablemarle cider works hewes crab,water,2,cups
ablemarle cider works hewes crab,hewes crab apples,4,cups
ablemarle cider works hewes crab,sugar,1,cup
ablemarle cider works hewes crab,yeast,1,packet
ablemarle cider works ragged mountain,sugar,1,cup
ablemarle cider works ragged mountain,water,2,cups
ablemarle cider works ragged mountain,apples,5,cups
ablemarle cider works ragged mountain,yeast,1,packet
aboboi with sweet plantain starting,pepper,0.5,teaspoon
aboboi with sweet plantain starting,tomato,2,medium
aboboi with sweet plantain starting,sweet plantains,2,pieces
aboboi with sweet plantain starting,red bell pepper,1,medium
aboboi with sweet plantain starting,beans,1,cup
aboboi with sweet plantain starting,salt,1,teaspoon
aboboi with sweet plantain starting,palm oil,2,tablespoons
aboboi with sweet plantain starting,onion,1,medium
abol kitfo,spices,2,tsp
abol kitfo,minced raw beef,250,g
abol kitfo,injera,4,pieces
abol lamb tibs,lamb,500,grams
abol lamb tibs,garlic,4,cloves
abol lamb tibs,onions,2,medium
abol lamb tibs,Ethiopian spices,2,tablespoons
abol shero wet,onion,1,medium
abol shero wet,vegetable oil,2,tbsp
abol shero wet,tomato paste,2,tbsp
abol shero wet,injera,4,pieces
abol shero wet,garlic,2,cloves
abol shero wet,lentils,1,cup
abol shero wet,berbere spice blend,2,tbsp
abol shero wet,ginger,1,tbsp
abol tibs,bell peppers,2,medium
abol tibs,beef,500,grams
abol tibs,spices,1,tablespoon
abol tibs,onions,2,medium
abomu,assorted meats,500,grams
abomu,yam,2,cups
abomu,palm oil,1,cup
abps original chicken salad,pepper,0.25,teaspoon
abps original chicken salad,celery,1,cup
abps original chicken salad,lemon juice,2,tablespoons
abps original chicken salad,mayonnaise,0.5,cup
abps original chicken salad,grapes,1,cup
abps original chicken salad,chicken,2,cups
abps original chicken salad,salt,0.5,teaspoon
abraham bowman virginia,bourbon,1.5,oz
abricotier,Almond extract,1,teaspoon
abricotier,Butter,2,tablespoons
abricotier,Lemon juice,2,tablespoons
abricotier,Apricots,6,pieces
abricotier,Flour,1,cup
abricotier,Sugar,1,cup
abruzzi,tomato sauce,1,cup
abruzzi,olive oil,2,tablespoons
abruzzi,onion,1,medium
abruzzi,pasta,200,grams
abruzzi,parmesan cheese,50,grams
abruzzi,garlic,2,cloves
abruzzi,ground beef,250,grams
abruzzi dchix,chicken,1,whole
abruzzi dchix,salt,1,tsp
abruzzi dchix,black pepper,1,tsp
abruzzi dchix,garlic,3,cloves
abruzzi dchix,thyme,1,tsp
abruzzi dchix,lemon,1,whole
abruzzi dchix,rosemary,1,tsp
abruzzi dchix,olive oil,2,tbsp
abruzzi dveal,onion,1,medium
abruzzi dveal,garlic,2,cloves
abruzzi dveal,salt,1,teaspoon
abruzzi dveal,tomato sauce,1,cup
abruzzi dveal,rosemary,1,teaspoon
abruzzi dveal,red wine,1,cup
abruzzi dveal,olive oil,2,tablespoons
abruzzi dveal,veal,500,grams
